SkillName,Price,bids,is_urgent,is_fulltime,is_bold,is_private
برنامه ریزی تبلیغ و خرید,15000000,0,0,1,0,0
بازاریابی اینترنتی,15000000,0,0,1,0,0
گوگل ادز (Google Ads),15000000,0,0,1,0,0
مقاله نویسی,50000000,0,0,0,0,0
نویسنده,50000000,0,0,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),15000000,0,0,0,0,0
Mobile Phone,15000000,0,0,0,0,0
برنامه نویسی موبایل,15000000,0,0,0,0,0
نصب برنامه,6000000,0,1,0,1,0
سئو (SEO),6000000,0,1,0,1,0
وردپرس (WordPress),6000000,0,1,0,1,0
برنامه نویسی تحت وب,6000000,0,1,0,1,0
ویکی,3000000,0,0,0,0,0
سئو (SEO),500000,8,0,0,0,0
مقاله نویسی,500000,8,0,0,0,0
وبلاگ,500000,8,0,0,0,0
نوشتن نقد,500000,8,0,0,0,0
ترجمه,500000,8,0,0,0,0
تصویرسازی,3000000,13,0,1,0,0
ایلوستریتور (Adobe Illustrator),3000000,13,0,1,0,0
فوتوشاپ (Photoshop),3000000,13,0,1,0,0
نقاشی دیجیتال,3000000,13,0,1,0,0
جاوا (Java),15000000,3,1,0,1,0
طراحی بروشور,500000,7,0,0,0,0
طراحی کارت ویزیت,500000,7,0,0,0,0
طراحی پوستر,500000,7,0,0,0,0
سی شارپ (C#),500000,1,0,0,0,0
یونیتی (Unity),500000,1,0,0,0,0
طراحی تجربه کاربری (UX),6000000,14,0,0,0,0
طراحی رابط کاربری (UI),6000000,14,0,0,0,0
طراحی تبلیغات,2000000,14,0,0,0,0
طراحی بنر,2000000,14,0,0,0,0
Flash,2000000,14,0,0,0,0
فوتوشاپ (Photoshop),2000000,14,0,0,0,0
وبلاگ,500000,7,0,0,0,0
پست های انجمن,500000,7,0,0,0,0
نوشتن نقد,500000,7,0,0,0,0
ویکی,500000,7,0,0,0,0
انیمیشن,1500000,11,0,1,0,0
موشن گرافیک,1500000,11,0,1,0,0
طراحی تبلیغات,6000000,6,0,0,0,0
طراحی بنر,6000000,6,0,0,0,0
طراحی رابط کاربری (UI),6000000,6,0,0,0,0
طراحی پست و استوری اینستاگرام,6000000,6,0,0,0,0
تیزر تبلیغاتی,6000000,6,0,0,0,0
HTML,6000000,6,0,0,0,0
وردپرس (WordPress),6000000,6,0,0,0,0
سی اس اس (CSS),6000000,6,0,0,0,0
اکسل (Excel),110000,11,0,0,0,0
تولید محتوا,500000,7,0,0,0,0
طراحی آیکون,500000,30,0,0,0,0
تصویرسازی,500000,30,0,0,0,0
ایلوستریتور (Adobe Illustrator),500000,30,0,0,0,0
فوتوشاپ (Photoshop),500000,30,0,0,0,0
وردپرس (WordPress),1500000,2,0,0,0,0
مای اسکیوال (MySQL),3000000,10,0,0,0,0
پی اچ پی (PHP),3000000,10,0,0,0,0
سی اس اس (CSS),3000000,10,0,0,0,0
برنامه نویسی تحت وب,3000000,10,0,0,0,0
Link Building,500000,1,0,0,0,0
سئو (SEO),500000,1,0,0,0,0
پی اچ پی (PHP),1500000,1,0,0,0,0
ترجمه فارسی به انگلیسی,6000000,9,0,1,0,0
تولید محتوای انگلیسی,6000000,9,0,1,0,0
Google Go,4000000,0,1,0,1,0
برنامه نویسی تحت وب,4000000,0,1,0,1,0
ویو جی اس (VueJs),4000000,0,1,0,1,0
نگارش دانشگاهی,250000,17,0,0,0,0
تایپ,250000,17,0,0,0,0
تحقیقات مالی,250000,17,0,0,0,0
پاورپوینت (Power Point),250000,17,0,0,0,0
3D Animation,500000,2,1,0,1,0
انیمیشن,500000,2,1,0,1,0
وردپرس (WordPress),500000,4,0,0,0,0
سئو (SEO),500000,11,0,0,0,0
وردپرس (WordPress),500000,11,0,0,0,0
مای اسکیوال (MySQL),6000000,29,0,0,0,0
پی اچ پی (PHP),6000000,29,0,0,0,0
سی اس اس (CSS),6000000,29,0,0,0,0
برنامه نویسی تحت وب,6000000,29,0,0,0,0
دستیار مجازی,6000000,6,0,1,0,0
وردپرس (WordPress),1500000,20,0,0,0,0
نوشتن توضیحات محصول,1500000,20,0,0,0,0
ورد (Word),1500000,20,0,0,0,0
CMS,1500000,20,0,0,0,0
تولید محتوا,1500000,20,0,0,0,0
طراحی آیکون,500000,33,0,0,0,0
تصویرسازی,500000,33,0,0,0,0
ایلوستریتور (Adobe Illustrator),500000,33,0,0,0,0
فوتوشاپ (Photoshop),500000,33,0,0,0,0
طراحی آیکون,400000,18,0,0,0,0
تصویرسازی,400000,18,0,0,0,0
ایلوستریتور (Adobe Illustrator),400000,18,0,0,0,0
فوتوشاپ (Photoshop),400000,18,0,0,0,0
HTML,6000000,9,0,0,0,0
وردپرس (WordPress),6000000,9,0,0,0,0
طراحی بنر,6000000,9,0,0,0,0
سی اس اس (CSS),6000000,9,0,0,0,0
فوتوشاپ (Photoshop),6000000,9,0,0,0,0
پی اچ پی (PHP),6000000,1,0,0,0,0
پایتون (Python),6000000,1,0,0,0,0
Shell Script,6000000,1,0,0,0,0
جستجو در وب,2500000,10,1,1,1,0
تولید محتوا,2500000,10,1,1,1,0
کپی رایتینگ,2500000,10,1,1,1,0
طراحی آیکون,3000000,52,0,0,0,0
تصویرسازی,3000000,52,0,0,0,0
ایلوستریتور (Adobe Illustrator),3000000,52,0,0,0,0
فوتوشاپ (Photoshop),3000000,52,0,0,0,0
وردپرس (WordPress),400000,7,0,0,0,0
تحقیقات مالی,6000000,4,1,1,1,0
حسابداری,6000000,4,1,1,1,0
قانون املاک,6000000,4,1,1,1,0
بازارهای مالی,6000000,4,1,1,1,0
تخصص ترجمه در مالی,6000000,4,1,1,1,0
طراحی آیکون,500000,54,0,0,0,0
تصویرسازی,500000,54,0,0,0,0
ایلوستریتور (Adobe Illustrator),500000,54,0,0,0,0
فوتوشاپ (Photoshop),500000,54,0,0,0,0
ASP.Net,5000000,1,0,0,1,0
پایتون (Python),5000000,1,0,0,1,0
تایپ,500000,42,0,0,0,0
YouTube,3000000,1,0,0,0,0
فوتوشاپ (Photoshop),3000000,1,0,0,0,0
موشن گرافیک,3000000,1,0,0,0,0
ادوبی پریمیر (Adobe Primiere),3000000,1,0,0,0,0
فیلم‌برداری,3000000,1,0,0,0,0
مقاله نویسی,500000,27,0,0,0,0
لاراول (Laravel),15000000,16,1,0,1,0
پی اچ پی (PHP),15000000,16,1,0,1,0
سئو (SEO),15000000,16,1,0,1,0
فروشگاه,15000000,16,1,0,1,0
برنامه نویسی تحت وب,15000000,16,1,0,1,0
تصویرسازی,3000000,71,0,0,0,0
ایلوستریتور (Adobe Illustrator),3000000,71,0,0,0,0
فوتوشاپ (Photoshop),3000000,71,0,0,0,0
طراحی بنر,500000,18,0,0,0,0
فوتوشاپ (Photoshop),500000,18,0,0,0,0
ورد (Word),500000,18,0,0,0,0
یونیتی (Unity),3500000,3,1,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),3500000,3,1,0,0,0
Mobile Phone,3500000,3,1,0,0,0
برنامه نویسی موبایل,3500000,3,1,0,0,0
ادوبی پریمیر (Adobe Primiere),500000,8,0,0,0,0
وردپرس (WordPress),2000000,13,0,0,0,0
برنامه نویسی,500000,10,0,0,0,0
ایلوستریتور (Adobe Illustrator),1234567,34,0,0,0,0
فوتوشاپ (Photoshop),1234567,34,0,0,0,0
طراحی پست و استوری اینستاگرام,1234567,34,0,0,0,0
ترجمه,350000,15,0,0,0,0
ترجمه فارسی به زبان های دیگر,350000,15,0,0,0,0
ترجمه زبان های دیگر به فارسی,350000,15,0,0,0,0
سئو (SEO),50000000,13,0,0,0,0
برنامه ریزی تبلیغ و خرید,50000000,13,0,0,0,0
تبلیغات,50000000,13,0,0,0,0
گوگل ادز (Google Ads),50000000,13,0,0,0,0
ایلوستریتور (Adobe Illustrator),1500000,16,0,0,0,0
ادوبی این دیزاین (InDesign),1500000,16,0,0,0,0
فوتوشاپ (Photoshop),1500000,16,0,0,0,0
برنامه نویسی سی (C),1500000,4,0,0,0,0
پایتون (Python),1500000,4,0,0,0,0
برنامه نویسی,1500000,4,0,0,0,0
HTML,800000,3,0,0,0,0
وردپرس (WordPress),800000,3,0,0,0,0
سی اس اس (CSS),800000,3,0,0,0,0
پایتون (Python),500000,7,0,0,0,0
اکسل (Excel),500000,42,0,0,0,0
سئو (SEO),500000,1,0,0,0,0
وردپرس (WordPress),500000,1,0,0,0,0
سرچ کنسول (Search Console),500000,1,0,0,0,0
HTML,150000,5,0,0,0,0
Link Building,150000,5,0,0,0,0
سئو (SEO),150000,5,0,0,0,0
بازاریابی اینترنتی,150000,5,0,0,0,0
تایپ,500000,39,0,0,0,0
ویرایش متن,500000,39,0,0,0,0
HTML,1500000,13,1,0,1,0
وردپرس (WordPress),1500000,13,1,0,1,0
سی اس اس (CSS),1500000,13,1,0,1,0
طراحی آیکون,1500000,58,0,0,0,0
تصویرسازی,1500000,58,0,0,0,0
ایلوستریتور (Adobe Illustrator),1500000,58,0,0,0,0
فوتوشاپ (Photoshop),1500000,58,0,0,0,0
فوتوشاپ (Photoshop),1500000,16,0,0,0,0
پایتون (Python),110000,7,0,0,0,0
HTML,500000,9,0,0,0,0
پی اچ پی (PHP),500000,9,0,0,0,0
برنامه نویسی تحت وب,500000,9,0,0,0,0
اکسل (Excel),500000,8,0,0,0,0
نصب برنامه,1500000,0,0,0,0,0
Link Building,3000000,17,1,1,0,0
سئو (SEO),3000000,17,1,1,0,0
مقاله نویسی,3000000,17,1,1,0,0
برنامه ریزی تبلیغ و خرید,3000000,17,1,1,0,0
بازاریابی اینترنتی,3000000,17,1,1,0,0
HTML,150000,9,0,0,0,0
سی اس اس (CSS),150000,9,0,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),3000000,3,0,0,0,0
Mobile Phone,3000000,3,0,0,0,0
برنامه نویسی موبایل,3000000,3,0,0,0,0
پایتون (Python),50000000,5,0,1,0,0
هوش مصنوعی (AI),50000000,5,0,1,0,0
ASP.Net,500000,7,0,0,0,0
سی شارپ (C#),500000,7,0,0,0,0
جاوا اسکریپت (JavaScript),500000,7,0,0,0,0
طراحی تجربه کاربری (UX),15000000,7,1,0,1,0
طراحی رابط کاربری (UI),15000000,7,1,0,1,0
طراحی واسط کاربر موبایل,3000000,3,0,0,0,0
فلاتر (Flutter),3000000,3,0,0,0,0
ادوبی افتر افکت (After Effects),3000000,11,0,0,0,0
انیمیشن,3000000,11,0,0,0,0
ادوبی کریتیو سوئیت,3000000,11,0,0,0,0
ادوبی پریمیر (Adobe Primiere),3000000,11,0,0,0,0
تولید ویدئو,3000000,11,0,0,0,0
نگارش دانشگاهی,1000000,7,0,0,0,0
مقاله نویسی,1000000,7,0,0,0,0
HTML,500000,27,1,0,1,0
وردپرس (WordPress),500000,27,1,0,1,0
سی اس اس (CSS),500000,27,1,0,1,0
پی اچ پی (PHP),50000000,57,1,0,1,0
پرستاشاپ (Prestashop),50000000,57,1,0,1,0
فروشگاه,50000000,57,1,0,1,0
برنامه نویسی تحت وب,50000000,57,1,0,1,0
HTML,500000,13,0,0,0,0
پی اچ پی (PHP),500000,13,0,0,0,0
برنامه نویسی تحت وب,500000,13,0,0,0,0
HTML,6000000,5,0,0,0,0
برنامه نویسی تحت وب,6000000,5,0,0,0,0
وردپرس (WordPress),500000,15,0,0,0,0
وبلاگ,500000,15,0,0,0,0
موسیقی,500000,15,0,0,0,0
ارسال مقاله,500000,15,0,0,0,0
نویسنده,500000,15,0,0,0,0
طراحی تجربه کاربری (UX),6000000,15,1,0,1,0
HTML,500000,4,0,0,0,0
پی اچ پی (PHP),500000,4,0,0,0,0
برنامه نویسی تحت وب,500000,4,0,0,0,0
3D Animation,2000000,14,0,0,0,0
مدل سازی ۳ بعدی (3D Modelling),2000000,14,0,0,0,0
تری دی مکس (3DS MAX),2000000,14,0,0,0,0
لاراول (Laravel),1500000,15,0,0,0,0
